alerta_codigo,fecha_raw,fecha,region,nombre,ambito,comuna,estado,superficie_ha,url_poligono,url_ficha,url_archivos,utm_operativas,utm_investigadas,geo_operativas,geo_investigadas,lat_operativa,lon_operativa,meteo_temperatura,meteo_nubosidad,meteo_hum_relativa,meteo_vel_viento,meteo_pendiente,meteo_exposicion,meteo_dir_viento,meteo_topografia,meteo_estacion,meteo_fecha
,24-dic-2025 16:20,,Biobío,226 - CURAMAVIDA,CONAF,Santa Juana,Extinguido,0.12,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796541660,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796541660,696845 E 5873081 S 18H,,"37°16'05"" S 72°46'48"" O",,-37.268056,-72.78,25 ºC,0/8,30 %,10 km/h,16 %,W,SW,Irregular,KESTREL,24-dic-2025 17:07
,24-dic-2025 16:16,,Biobío,228 - SUR TIRUA,CONAF,Tirúa,Controlado,0.4,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796540231,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796540231,630566 E 5754572 S 18H,,"38°20'51"" S 73°30'21"" O",,-38.3475,-73.505833,18 ºC,0/8,72 %,6.9 km/h,%,,NE,,KESTREL,24-dic-2025 17:41
,24-dic-2025 15:52,,Metropolitana,270 - NOVICIADO 2,CONAF,Pudahuel,Extinguido,24.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796535928,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796535928,329687 E 6299788 S 19H,,"33°25'40"" S 70°49'55"" O",,-33.427778,-70.831944,30.5 ºC,1/8,19 %,18.2 km/h,0 %,Plano,SW,Suave,meteograma,24-dic-2025 16:00
,24-dic-2025 15:19,,Araucanía,263 - CALLE CARRERA,CONAF,Victoria,Extinguido,1.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796522004,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796522004,734771 E 5764276 S 18H,,"38°14'20"" S 72°19'03"" O",,-38.238889,-72.3175,20 ºC,6/8,57 %,7 km/h,0 %,Plano,S,Irregular,Kestrel,24-dic-2025 16:01
,24-dic-2025 15:09,,O'Higgins,160 - LOS CESARES,CONAF,Rengo,Extinguido,1.3,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796519250,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796519250,330830 E 6191340 S 19H,,"34°24'20"" S 70°50'26"" O",,-34.405556,-70.840556,30 ºC,0/8,29 %,10 km/h,0 %,Plano,SW,Suave,KIT METEOROLOGICO 6-2-3,24-dic-2025 15:55
,24-dic-2025 15:01,,Biobío,225 - EL VENADO,CONAF,Santa Juana,Extinguido,0.15,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796516681,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796516681,697123 E 5876559 S 18H,,"37°14'12"" S 72°46'40"" O",,-37.236667,-72.777778,27 ºC,0/8,30 %,5 km/h,16 %,N,S,Irregular,KESTREL,24-dic-2025 15:56
incendio-estado-alerta-30,24-dic-2025 14:43,,Maule,267 - CERRO MAULE,CONAF,Maule,En Combate,250.0,https://sidco.conaf.cl/admin/perimetro/descargar_todos_archivos.php?ince_id=796511882,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796511882,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796511882,254178 E 6062010 S 19H,,"35°33'18"" S 71°42'43"" O",,-35.555111,-71.712006,28.8 ºC,0/8,38.2 %,16.3 km/h,95 %,S,SE,Irregular,kestrel de la brigada,24-dic-2025 16:07
,24-dic-2025 14:42,,O'Higgins,159 - CRUCE CODAO,CONAF,Peumo,Extinguido,0.3,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796512287,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796512287,296124 E 6196415 S 19H,,"34°21'13"" S 71°13'00"" O",,-34.353556,-71.216722,30.5 ºC,0/8,57.5 %,7 km/h,0 %,Plano,SE,Suave,KIT METEOROLOGICO 6B17-1,24-dic-2025 15:22
,24-dic-2025 14:15,,Maule,268 - LOS POZOS,CONAF,San Clemente,Extinguido,2.0,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796504880,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796504880,274521 E 6068973 S 19H,,"35°29'50"" S 71°29'09"" O",,-35.497222,-71.485833,31.1 ºC,0/8,33.4 %,6.3 km/h,0 %,Plano,NE,Irregular,KESTREL MAQUI 11,24-dic-2025 15:45
,24-dic-2025 13:32,,Valparaíso,212 - CALLE LONGITUDINAL,CONAF,Villa Alemana,Extinguido,0.44,,https://sidco.conaf.cl/reporte/reportes/registro_operacion_action.php?popup=true&ince_id=796488272,https://sidco.conaf.cl/admin/informe_especial/index.php?ince_id=796488272,291584 E 6345345 S 19H,,"33°00'38"" S 71°13'52"" O",,-33.01043,-71.23109,28 ºC,0/8,55.7 %,1.3 km/h,50 %,SE,SW,Irregular,kestrel palma 7,24-dic-2025 14:27
